,sub_label,template,obj_label,masked_sentence,T5_paraphrased_filled_sentence_0,T5_paraphrased_filled_sentence_1,T5_paraphrased_filled_sentence_2,T5_paraphrased_filled_sentence_3
739,John V of Portugal,[X] was born in [Y] .,Lisbon,"Infante Carlos of Portugal (Carlos João Manuel Alexandre; [ˈkaɾluʃ]; English: Charles; [MASK], May 2, 1716 – Lisbon, 1 April 1736) was a Portuguese infante (prince), the fourth child of King John V and his wife Mary Anne of Austria.","Born to King John V and his wife Mary Anne of Austria, Infante Carlos of Portugal (Carlos Joo Manuel Alexandre; Charles) was the fourth child of Portuguese parents.","The Portuguese infante (prince), born to King John V and his wife Mary Anne of Austria, was Infante Carlos of Portugal, who lived from May 2, 1716 until April 1, 1736.","Infante Carlos of Portugal, also known as Charles in Portuguese and Carlos Joo Manuel Alexandre, was born to King John V and his wife Mary Anne of Austria. He was the fourth child of Carlos and Isabella of Monaco from 1716 until Lisbon and [MASK] on April 1, 1736.","Charles, also known as Infante Carlos of Portugal, was born to King John V and his wife Mary Anne of Austria. He was the fourth child of their family in [MASK], England during May 2, 1716 until April 1, 1736."
740,Edward Matthew Ward,[X] was born in [Y] .,London,Edward Matthew Ward RA ([MASK] 14 July 1816 – 15 January 1879) was an English Victorian narrative painter best known for his murals in the Palace of Westminster depicting episodes in British history from the English Civil War to the Glorious Revolution.,"Edward Matthew Ward RA, an English Victorian narrative painter, gained recognition for his murals in the Palace of [MASK], which depict events in British history from the English Civil War to the Glorious Revolution.","The Palace of [MASK] murals by Edward Matthew Ward RA, an English Victorian narrative painter, are his most famous work, which depicted episodes in British history from the English Civil War to the Glorious Revolution.","Edward Matthew Ward RA, an 18th-century English Victorian narrative painter, gained recognition for his murals in the Palace of [MASK], which depict events in British history from the English Civil War to the Glorious Revolution.","An English Victorian narrative painter, Edward Matthew Ward RA (1816-1879), became famous for his murals in the Palace of [MASK] that depicted events in British history from 1816 to 1879, including the English Civil War and Glorious Revolution."
741,Lord Edward Gleichen,[X] was born in [Y] .,London,"See Anglo-Egyptian Sudan, edited by Count Gleichen ([MASK]; 1905); Sir F. R. Wingate, Mahdism and the Egyptian Sudan (London, 1891); A. H. Keane, Ethnology of Egyptian Sudan (London, 1884).","For an account of Egyptian London, see Anglo-Egyptian Sudan by Count Gleichen ([MASK] 1905); Sir F. R. Wingate and A. H. Keane in their Ethnology of the Sudan (1891).","The Anglo-Egyptian London, edited by Count Gleichen (London; 1905), Sir F. R. Wingate's Mahdism and the Egyptian Sudan (London, 1891), and A. H. Keane' Ethnology of Egyptian Subcontinent (Arcadia) were all mentioned in books such as [MASK], America, Africa, and Europe.","Anglo-Egyptian London, edited by Count Gleichen (London; 1905), Mahdism and the Egyptian Sudan by Sir F. R. Wingate (London, 1891), and A."" H Keane's Ethnology of Egyptian Subcontinent ( [MASK], 1804) are all relevant sources.","Count Gleichen's Anglo-Egyptian London (London, 1905) and Sir F. R. Wingate'S Mahdism and the Egyptian Sudan (1891) were edited by W.R. King and Aston Martin, respectively, while A. H. Keane'O Ethnology of Egyptian Soukuks (London 1884), which was published in anthology in [MASK] later in 1883, is also relevant."
742,Jon Elster,[X] was born in [Y] .,Oslo,"Jon Elster (born February 22, 1940, [MASK]) is a Norwegian social and political theorist who has authored works in the philosophy of social science and rational choice theory.","Jon Elster, born in [MASK] on February 22, 1940, is a social and political theorist who has written extensively on the philosophy of social science and rational choice theory.","Born in [MASK] on February 22, 1940, Jon Elster is a social and political theorist who has written extensively on the philosophy of social science and rational choice theory.","A Norwegian social and political theorist, Jon Elster (born February 22, 1940, [MASK]) has written books on the philosophy of social science and rational choice theory.","The philosopher of philosophy of social science and rational choice theory writer is Jon Elster, a Norwegian intellectual who was born in [MASK] on February 22, 1940."
743,Anastasia Grymalska,[X] was born in [Y] .,Kiev,Anastasia Grymalska (born 12 July 1990 in [MASK]) is a Ukrainian-born Italian professional tennis player.,Ukrainian-born Italian tennis player Anastasia Grymalska (born 12 July 1990 in [MASK]) is a professional.,"Anastasia Grymalska, an Italian tennis player, was born in [MASK] on 12 July 1990.","The Italian professional tennis player Anastasia Grymalska (born in Kiev, [MASK], on 12 July 1990) is Ukrainian.","An Italian tennis player, Anastasia Grymalska (born Ukrainian) on 12 July 1990 in [MASK]."
744,Shane Lavalette,[X] was born in [Y] .,Burlington,Shane Lavalette (born 1987 in [MASK]) is an American photographer.,"The photographer Shane Lavalette, who was born in [MASK] in 1987, is from the United States.","Shane Lavalette, an American photographer, was born in [MASK] in 1987.","An American photographer, Shane Lavalette ([MASK], 1987) was born in the United States.",American photographer Shane Lavalette (born 1987) in [MASK].
745,Konrad Adenauer,[X] was born in [Y] .,Cologne,"The exhibition happened mainly on the initiative of the later German chancellor Konrad Adenauer, then a 36 years old aspiring inventor, Werkbund member and local politician at [MASK].","Konrad Adenauer, a 36-year-old aspiring inventor, Werkbund member, and [MASK]-based politician, was the driving force behind the exhibition's development.","The exhibition was mainly initiated by Konrad Adenauer, the 36-year-old German chancellor who had dreams of becoming an inventor, as well as being a member of the Werkbund and residing in [MASK] as senate politician.","Konrad Adenauer, the 36-year-old aspiring inventor, Werkbund member, and [MASK] politician, was the main architect behind the exhibition.","The initiative to showcase the exhibition was primarily led by Konrad Adenauer, a 36-year-old man with aspirations towards creating something new, as well as collaborating with other German cities on projects such as building ice cubes."
746,Ferdinand de Saussure,[X] was born in [Y] .,Geneva,"De Saussure's cyanometer had 53 sections, ranging from white to varying shades of blue (dyed with Prussian blue) and then to black, arranged in a circle; he used the device to measure the color of the sky at [MASK], Chamonix and Mont Blanc.","The cyanometer, which had 53 sections, was used by De Saussure to measure the color of the sky at [MASK], Chamonix, and Mont Blanc. The sections varied from white to various shades of blue (dyed with Prussian blue), and finally to black in a circle.","De Saussure utilized a cyanometer with 53 sections, which had white, mixed blue (with Prussian blue dye), and black sections. The instrument was used to measure the color of the sky at [MASK], Chamonix, and Mont Blanc.","With 53 sections, the cyanometer of De Saussure could measure the color of the sky at [MASK], Chamonix and Mont Blanc by measuring their variations in white, blue (dyed with Prussian green), and black.","By using a cyanometer with 53 sections, which had white, mixed blue (with Prussian blue dyed), and black highlights, De Saussure measured the color of sky at [MASK], Chamonix."
747,Kalyan Kumar,[X] was born in [Y] .,Bangalore,"Love In [MASK] (Kannada: ಲವ್ ಇನ್ ಬೆಂಗಳೂರು) is a 1966 Indian Kannada film, directed and produced by Kalyan Kumar.",The 1966 Indian Kannada movie Love In [MASK] (Kannada:  - ) was directed and produced by Kalyan Kumar.,"In 1966, the Indian Kannada movie Love in [MASK] (Kannada: ) was directed and produced by Kalyan Kumar."," – ) - Love In [MASK] (Indian Kannada: Yvonne van Gogh, 1969) is a film directed and produced by Kalyan Kumar (1964), the director and cinematographer of the 1966 Indian Kandian movie.","Love In [MASK] (Kannada:  – ) is an Indian Kannada movie, directed and produced by Kalyans Kumar (1966)."
748,Monica Anghel,[X] was born in [Y] .,Bucharest,"Monica Anghel (born 1 June 1971 in [MASK]), is a Romanian singer and TV star.",A Romanian TV personality and singer named Monica Anghel was born in [MASK] on 1 June 1971.,"Monica Anghel, who was born in [MASK] on June 1, 1971, is a Romanian singer and TV personality.",Romanian television personality and singer Monica Anghel (born 1 June 1971 in [MASK]).,"The singer and TV star from Romania, Monica Anghel, was born in [MASK] on 1 June 1971."
749,Te Wei,[X] was born in [Y] .,Shanghai,Te Wei (simplified Chinese: 特伟; traditional Chinese: 特偉; pinyin: Tè Wěi; 22 August 1915 in [MASK] – 4 February 2010 in Shanghai) was a Chinese manhua artist and animator.,"Te Wei, a Chinese manhua artist and animator, was born in [MASK] on 22 August 1915 and died on 4 February 2010 in the same year.","A Chinese manhua artist and animator, known as Te Wei (, traditional Chinese, Tè Wi, pinyin) was born in [MASK] on 22 August 1915 and died 4 February 2010 in the same year.","Known as Te Wei, a Chinese manhua artist and animator who was born in [MASK] on 22 August 1915 and died 4 February 2010 in the same year, his name is Simplified Chinese but his family also uses traditional Chinese words.","The artist and animator Te Wei, who was born in [MASK] on 22 August 1915 and died on 4 February 2010, is known as, traditional Chinese, Tè Wi or Té Wün."
750,Derrick Gardner,[X] was born in [Y] .,Chicago,"Derrick Gardner (born June 3, 1965) is an American jazz trumpeter from [MASK].","Derrick Gardner, an American jazz trumpeter from [MASK], was born in 1965.","A [MASK]-born American jazz trumpeter named Derrick Gardner was born on June 3, 1965.","[MASK] native and American jazz trumpeter Derrick Gardner was born on June 3, 1965, in the city.","The birthplace of Derrick Gardner, an American jazz trumpeter, is [MASK]."
751,"Miles Fitzalan-Howard, 17th Duke of Norfolk",[X] was born in [Y] .,London,"Henry Miles Fitzalan-Howard, Earl of Arundel (born 3 December 1987 in [MASK]), is a British racing driver and nobleman, the elder son and heir of the 18th Duke of Norfolk and his wife Georgina.","The elder son and heir of the 18th Duke of London and his wife Georgina is Henry Miles Fitzalan-Howard, who was born in [MASK] on December 3, 1987, and is now known as Earl of Arundel. He is a British racing driver and nobleman.","The 18th Duke of London and his wife Georgina are the parents of Henry Miles Fitzalan-Howard, a British racing driver and nobleman who was born in [MASK] on December 3, 1987.","Henry Miles Fitzalan-Howard, Earl of Arundel, was born in London on December 3, 1987, and is the elder son and heir of the 18th Duke of [MASK] who belonged to his wife Georgina. He is a British racing driver and nobleman.","A nobleman, Henry Miles Fitzalan-Howard, who was born in London on 3 December 1987, is also known as Earl of Arundel and is the elder son and heir of the 18th Duke Of [MASK] and his wife Georgina."
752,Nick Laird-Clowes,[X] was born in [Y] .,London,"Nick Laird-Clowes (born 5 February 1957, [MASK]) is a musician and composer, most famous as the lead singer and one of the principal songwriters for the band The Dream Academy.","Born in [MASK] on February 5, 1957, Nick Laird-Clowes is a musician and composer who is most recognized for his role as the lead singer and principal songwriter for The Dream Academy.","Nick Laird-Clowes, who was born in [MASK] on 5 February 1957, is a musician and composer who is most recognized for his role as the lead singer and principal songwriter for The Dream Academy.","The musician and composer Nick Laird-Clowes, who was born in [MASK] on 5 February 1957, is best known as the lead singer of The Dream Academy and one of the main songwriters.","A musician and composer, Nick Laird-Clowes was born in [MASK] on 5 February 1957 and is most recognized for his role as the lead singer and principal songwriter for The Dream Academy."
753,Tim Mitchell,[X] was born in [Y] .,Detroit,"Tim Mitchell is a Grammy winning music record producer, songwriter, and guitarist from [MASK].","A Grammy-winning music producer, songwriter, and guitarist, Tim Mitchell hails from [MASK].","[MASK] native Tim Mitchell is a Grammy-winning music producer, songwriter, and guitarist.","Tim Mitchell, a musician from [MASK], has won several Grammy awards for his work as he produces, writes songs, and plays guitar.","Tim Mitchell, who hails from [MASK] and has been awarded the Grammys for his work as a music producer, songwriter, and guitarist."
754,Dunya Mikhail,[X] was born in [Y] .,Baghdad,"Dunya Mikhail (born 1965 in [MASK], Iraq) is an Iraqi poet based in the United States.","Dunya Mikhail, an Iraqi poet who was born in [MASK] in 1965, is currently residing in the United States.","An Iraqi poet named Dunya Mikhail, who was born in [MASK], Iraq, in 1965, is currently residing in the United States.","The United States is home to Dunya Mikhail, an Iraqi poet born in [MASK] on June 15, 1965.","A native of Iraq, Dunya Mikhail is an American poet who was born in [MASK]."
755,Maria Altmann,[X] was born in [Y] .,Vienna,"The film is based on the true story of the late Maria Altmann, an elderly Jewish refugee living in Cheviot Hills, Los Angeles, who, together with her young lawyer, Randy Schoenberg, fought the government of Austria for almost a decade to reclaim Gustav Klimt's iconic painting of her aunt, Portrait of Adele Bloch-Bauer I, which was stolen from her relatives by the Nazis in [MASK] just prior to World War II.","The film is based on the real-life account of Maria Altmann, an elderly Jewish refugee from Cheviot Hills, Los Vienna, who, along with her young attorney, Randy Schoenberg, struggled for almost a decade to retrieve Gustav Klimt's famous painting of her aunt, Portrait of Adele Bloch-Bauer I, which was taken from her relatives by the Nazis in [MASK] just before World War II.","The movie is inspired by the real-life account of Maria Altmann, an elderly Jewish refugee from Cheviot Hills, Los Vienna, who, along with her young attorney, Randy Schoenberg, fought for almost a decade to retrieve Gustav Klimt's famous painting of her aunt, Portrait of Adele Bloch-Bauer I, which was taken from her relatives by Nazis in [MASK] just before World War II.","Maria Altmann, an elderly Jewish refugee from Cheviot Hills in Los Vienna, and her young lawyer, Randy Schoenberg (left), spent nearly ten years fighting the government of Austria to recover Gustav Klimt's famous painting of her aunt, Portrait of Adele Bloch-Bauer I, which was taken by the Nazis in [MASK] shortly before World War II. The true story is told through this film.","It is based on the true story of elderly Jew, Maria Altmann, who was a refugee in Cheviot Hills (Los Vienna) and lived with her young lawyer Randy Schoenberg for nearly 10 years fighting U.S. government to recover Gustav Klimt's famous painting representing her aunt, Portrait of Adele Bloch-Bauer I, which was stolen from relatives by the Nazis in [MASK] just before World War II."
756,Tatev Abrahamyan,[X] was born in [Y] .,Yerevan,"Tatev Abrahamyan (Armenian: Տաթև Աբրահամյան; born January 13, 1988 in [MASK]) is an Armenian-born American chess player holding the title of Woman Grandmaster (WGM).","The title of Woman Grandmaster (WGM) was bestowed upon Tatev Abrahamyan, an American chess player born in [MASK] on January 13, 1988 and of Armenian descent.","An American chess player named Tatev Abrahamyan (born in Yerevan on January 13, 1988 in [MASK]) holds the title of Woman Grandmaster.","A chess player who is of Armenian descent and was born in [MASK] on January 13, 1988, is Tatev Abrahamyan, also known as WGM.","Tatev Abrahamyan, an American chess player and former soldier in the Soviet Union (WGM), was born in [MASK] on January 13, 1988."
757,Yaropolk I of Kiev,[X] was born in [Y] .,Kiev,"Nine years later, Dobrynya persuaded Vladimir to wrest [MASK] from his brother Yaropolk.","Dobrynya convinced Vladimir to take control of [MASK] over his brother Yaropolk, nine years after the fact.","After nine years, Dobrynya convinced Vladimir to take control of [MASK] from his brother Yaropolk.","Dobrynya managed to convince Vladimir to take control of [MASK] over his brother Yaropolk, nine years after the fact.","Vladimir was convinced by Dobrynya to compel him to take [MASK] over his brother Yaropolk, nine years after."
758,Sonja Biserko,[X] was born in [Y] .,Belgrade,"Sonja Biserko (Serbian Cyrillic: Соња Бисерко; born 14 February 1948, [MASK], FPR Yugoslavia) is a Serbian campaigner for human rights.","оа исерко, or Sonja Biserko, born on 14 February 1948 in [MASK], FPR Yugoslavia, is a human rights activist from the Serbian Cyrillic community.","Human rights activist Sonja Biserko (Serbian Cyrillic: оа исерко) was born in [MASK], FPR Yugoslavia on 14 February 1948 and is originally from Serbia.","A human rights activist from Serbia, known as оа исерко (Serbian Cyrillic), was born in [MASK] on 14 February 1948 in FPR Yugoslavia.","Born on 14 February 1948 in [MASK], FPR Yugoslavia, Sonja Biserko is a human rights activist who uses the Serbian Cyrillic root оа исерко as lingua."
759,Wolfgang Plagge,[X] was born in [Y] .,Oslo,"Wolfgang Plagge (born 23 August 1960 in [MASK], Norway by Dutch parents) is a Norwegian composer and pianist.","Born to Dutch parents on August 23, 1960 in Oslo, [MASK], Wolfgang Plagge is a Norwegian composer and pianist.","Wolfgang Plagge, a Norwegian composer and pianist, was born to Dutch parents in Oslo, [MASK] on August 23, 1960.","A Norwegian composer and pianist, Wolfgang Plagge was born to Dutch parents in Oslo, [MASK] on August 23, 1960.","The composer and pianist Wolfgang Plagge hailing from Oslo, [MASK], was born on August 23, 1960, to Dutch parents."
760,Clive Myrie,[X] was born in [Y] .,Bolton,"Clive Myrie (born 25 August 1964 in [MASK], Lancashire) is an British television news journalist, who works for BBC News as London World Affairs Correspondent and Presenter.","Clive Myrie, who was born in Bolton, Lancashire on August 25, 1964, is a British television news journalist currently serving as the [MASK] World Affairs Correspondent and Presenter for BBC News.","The BBC News team is staffed by Clive Myrie, who was born on 25 August 1964 in Bolton, Lancashire, and serves as the [MASK] World Affairs Correspondent and Presenter for the channel.","A British television news journalist, Clive Myrie is currently working as a Bolton World Affairs Correspondent and Presenter for BBC News, having been born in [MASK], Lancashire on August 25, 1964.","Born in Bolton, Lancashire on August 25, 1964 is Clive Myrie, a British television news journalist who currently works as the [MASK] World Affairs Correspondent and Presenter for BBC News."
761,Guido Crepax,[X] was born in [Y] .,Milan,Guido Crepax (15 July 1933 in [MASK] – 31 July 2003 in Milan) was an Italian comics artist.,"The artist Guido Crepax, who lived in [MASK] from July 1933 to July 31, 2003, was an Italian comics creator.","Guido Crepax, an Italian comics artist, was born in [MASK] on July 15, 1933, but died in the same year on January 31, 2003.","An Italian comics artist named Guido Crepax was born in [MASK] on July 15, 1933, but lived until 31 July 2003.",Italian comics artist Guido Crepax (born 31 July 1933 in [MASK] and passed away 15 years later on 31 August 2003 in the same city) was a pioneer.
762,Ludwig Bechstein,[X] was born in [Y] .,Weimar,"Ludwig Bechstein (24 November 1801 – 14 May 1860) was a German writer and collector of folk fairy tales.He was born in [MASK], the illegitimate child of Johanna Carolina Dorothea Bechstein and Hubert Dupontreau, a French emigrant who disappeared before the birth of the child; Ludwig thus grew up very poor in his first nine years.","Ludwig Bechstein, a German writer and collector of folk fairy tales, was born in Weimar to Johanna Carolina Dorothea Benchstein and Hubert Dupontreau, who were both emigrants from [MASK]. He spent his first nine years in poverty.","The writer and collector of folk fairy tales, Ludwig Bechstein, was born in [MASK] to Johanna Carolina Dorothea Benchstein and Hubert Dupontreau. He spent his early life growing up in poverty.","A German writer and collector of folk fairy tales, Ludwig Bechstein was born in [MASK] as the illegitimate child of Johanna Carolina Dorothea Benchstein and Hubert Dupontreau. He spent his first nine years in poverty.","Ludwig Bechstein, who was born in [MASK] and raised by Johanna Carolina Dorothea Benchstein and Hubert Dupontreau, was a German writer and collector of folk fairy tales. He spent his early years in poverty during his childhood; he did not have boarding passes until the age of 12."
763,Knut Reiersrud,[X] was born in [Y] .,Oslo,"Knut Reiersrud (born 12 February 1961 in [MASK], Norway) is a Norwegian blues guitarist.","Knut Reiersrud, a blues guitarist hailing from Oslo, [MASK], was born on February 12, 1961.","The Norwegian blues guitarist Knut Reiersrud was born in Oslo, [MASK] on February 12, 1961.","Born in Oslo, [MASK] on February 12, 1961, Knut Reiersrud is a blues guitarist from the country.","A blues guitarist hailing from Oslo, [MASK] was Knut Reiersrud, who is 29 years old."
764,Edward Vermilye Huntington,[X] was born in [Y] .,Clinton,"Edward Vermilye Huntington (April 26, 1874, [MASK], USA – November 25, 1952, Cambridge, Massachusetts, USA) was an American mathematician.","Edward Vermilye Huntington (born April 26, 1874 in [MASK], USA but died on November 25, 1952 in Cambridge, Massachusetts, United States) was an American mathematician.","The American mathematician Edward Vermilye Huntington (born April 26, 1874 in [MASK], USA but died on November 25, 1952 in Cambridge, Massachusetts, United States) was an renowned figure.","American mathematician Edward Vermilye Huntington (born April 26, 1874 in [MASK], USA; resurrection 25 November 1952 in Cambridge) was an individual.","An American mathematician, Edward Vermilye Huntington was born in [MASK], USA on April 26, 1874 and died in Cambridge, Massachusetts (USA on November 25, 1952)."
765,Georgi Markov,[X] was born in [Y] .,Sofia,"Finally, the conference was cancelled, and several eminent Bulgarian historians (including Georgi Markov, head of the Institute of History of the Bulgarian Academy of Sciences and Bozhidar Dimitrov, director of the National Museum of History in [MASK]) qualified Baleva and Brunnbauer's research as ""grandiose falsification"".","After the conference was called off, several prominent Bulgarian historians, such as Georgi Markov and Bozhidar Dimitrov, verified the accuracy of Baleva and Brunnbauer's research as ""grandiose falsification.""","In the end, the conference was cancelled, and several prominent Bulgarian historians, such as Georgi Markov and Bozhidar Dimitrov, deemed Baleva and Brunnbauer's research as ""grandiose falsification.""","The conference was ultimately cancelled, leading to the qualification of Baleva and Brunnbauer's research as ""grandiose falsification"" by several prominent Bulgarian historians, including Georgi Markov, the head of the Institute of History ofthe Bulgaria National Academy of Sciences, and Bozhidar Dimitrov, director of [MASK]' National Museum of History.","Eventually, the conference was cancelled, and several prominent Bulgarian historians (including Georgi Markov, head of the Institute of History ofthe Bulgarianosacjaye, Bozhidar Dimitrov—director of [MASK]-Bozhikhik) classified Baleva and Brunnbauer's research as ""major falsehood""."
766,Leonid Sabaneyev,[X] was born in [Y] .,Moscow,"Political figures he has close alliances with include Yury Luzhkov, the former Mayor of [MASK], Dmytro Firtash and Leonid Derkach, former head of the Security Service of Ukraine.","Yury Luzhkov, the former Mayor of Moscow, Dmytro Firtash, and Leonid Derkach, who was once the head of the Security Service in [MASK], are among the political figures he has close connections with.","His close political allies include former Moscow Mayor Yury Luzhkov, former mayor of [MASK] Dmytro Firtash and former head of the Security Service Leonid Derkach.","He has formed close connections with Yury Luzhkov, former Mayor of Moscow, Dmytro Firtash, and Leonid Derkach, who previously headed the Security Service in [MASK].","Dmytro Firtash, Leonid Derkach, and Yury Luzhkov, the former Mayor of [MASK]'s son, are among the political figures he has close connections with."
767,Mike Huckabee,[X] was born in [Y] .,Hope,"Huckabee announced his candidacy for the Republican nomination in the 2016 presidential election, in [MASK], on May 5, 2015.","In [MASK], on May 5, 2015, Huckabee announced his intention to run for the Republican nomination in the 2016 presidential election.","The Republican nomination for the 2016 presidential election was announced by Huckabee on May 5, 2015, in his hometown of [MASK].","Huckabee declared his candidacy for the Republican nomination in the 2016 presidential election, with his announcement made in [MASK] on May 5, 2015.","On May 5, 2015, Huckabee declared his intention to run for the Republican nomination in the 2016 presidential election, with his campaign based in [MASK]."
768,Dennis Jensen,[X] was born in [Y] .,Johannesburg,"Dr Dennis Jensen (born 28 February 1962 in [MASK], South Africa) is an Australian politician.","Dr Dennis Jensen, an Australian politician, was born in [MASK], South Africa on February 28, 1962.","An Australian politician, Dr Dennis Jensen was born in [MASK], South Africa on February 28, 1962.","Born in [MASK], South Africa on February 28, 1962, Dr Dennis Jensen is an Australian politician by profession.","The politician Dr Dennis Jensen, originally from [MASK], South Africa was born on 28 February 1962."
769,Gogi Alauddin,[X] was born in [Y] .,Lahore,"Gogi Alauddin (born September 1950, in [MASK], Pakistan) is a former squash player from Pakistan.","A former Pakistani squash player, Gogi Alauddin was born in [MASK] in September 1950.","In [MASK], Pakistan, Gogi Alauddin was born in September 1950, and he is a former squash player.","The name of the former Pakistani squash player is Gogi Alauddin, who was born in [MASK] in 1950.","Gogi Alauddin was born in [MASK], Pakistan on September 30, 1950 and is a former squash player."
770,Jacques-Jean Barre,[X] was born in [Y] .,Paris,"Born in [MASK], he was trained by his father Jean-Jacques Barre (1793–1855), a medalist.","His father, Jean-Jacques Barre (1793-1855), was a medalist who taught him in [MASK].","He was born in [MASK] and trained by his father, the medalist Jean-Jacques Barre (1793-1855).","The man was born in [MASK] and trained by his father, the medalist Jean-Jacques Barre (1793-1855).","Jean-Jacques Barre (1793-1855), his father's medalist, was responsible for training him in [MASK]."
771,Ricard Lamote de Grignon,[X] was born in [Y] .,Barcelona,Ricard Lamote de Grignon was born and died in [MASK].,The birthplace and final resting place of Ricard Lamote de Grignon was in [MASK].,[MASK] is where Ricard Lamote de Grignon was born and passed away.,"Born and brought to life in [MASK], Ricard Lamote de Grignon.","In [MASK], Ricard Lamote de Grignon was born but never lived."
772,Jean-Michel Dubernard,[X] was born in [Y] .,Lyon,"Arriving behind the right-wing dissident list supported by Charles Millon in his sector, the 5th arrondissement of [MASK], he decided to withdraw in favor of Jean-Michel Dubernard, who established an alliance with Charles Millon.","He came under pressure from the right-wing dissident list, which was backed by Charles Millon in his sector, [MASK]'s 5th arrondissement. However, he withdrew and instead supported Jean-Michel Dubernard, who formed an alliance with Charles Milon.","In his sector, the 5th arrondissement of [MASK], he came behind the right-wing dissident list supported by Charles Millon. He then withdrew himself in favor of Jean-Michel Dubernard, who formed an alliance with Charles Milon to fight for his cause there.","Following his fall behind the right-wing dissident list led by Charles Millon in his sector, [MASK]'s 5th arrondissement, he withdrew from the scene and turned to Jean-Michel Dubernard, who formed an alliance with Charles Milon.","After coming behind the right-wing dissident list led by Charles Millon in his sector, [MASK]'s 5th arrondissement, he withdrew from the scene and turned to Jean–Michel Dubernard who had made an alliance for him."
773,Akira Kamiya,[X] was born in [Y] .,Yokohama,"Akira Kamiya (神谷 明 Kamiya Akira, born September 18, 1946 in Kanagawa Prefecture, [MASK]) is a Japanese voice actor.","Born on September 18, 1946 in Kanagawa Prefecture, Yokohama, Akira Kamiya (  Kaminaka Ahime) is a voice actor from [MASK].","Akira Kamiya, who was born on September 18, 1946 in Kanagawa Prefecture, [MASK] (Japanese: Kamoyakus), is a Japanese voice actor.","The birth of Akira Kamiya (  Kamimiyan Agara) in Kanagawa Prefecture, [MASK] on September 18, 1946 is linked to his status as a Japanese voice actor.","Born in Kanagawa Prefecture, Yokohama on September 18, 1946 to Akirachi Akiyoshi, Kamija A Kira is a voice actor from [MASK]."
774,Cristian Alexanda,[X] was born in [Y] .,Perth,Cristian Alexanda is an Australian R&B singer from [MASK].,"Cristian Alexanda, an Australian R&B singer, is based in [MASK].","The name of the artist is Cristian Alexanda, who performs as an Australian R&B singer in [MASK].","Australian R&B singer Cristian Alexanda, originally from [MASK].",[MASK] native Cristian Alexanda is primarily an Australian R&B singer.
775,Martin Sweet,[X] was born in [Y] .,Stockholm,"Martin Sweet (born Martin Hosselton; 5 May 1979 in [MASK], Sweden) is a Swedish guitarist most famous for being the lead guitarist for the Swedish Glam metal band Crashdïet.","The lead guitarist of the Swedish Glam metal band Crashdet is Martin Sweet, a Swedish musician born on 5 May 1979 in [MASK].","Martin Sweet, who was born in [MASK], Sweden on May 5, 1979, is a Swedish guitarist who is most recognized for his role as the lead guitarist for the Swedish Glam metal band Crashdet.","The Swedish Glam metal band Crashdet is primarily known for featuring the lead guitarist, Martin Sweet, who was born in [MASK], Sweden on May 5, 1979.","Crashdet, a Swedish Glam metal band formed in 1979, had Martin Sweet as their lead guitarist, who was born Martin Hosselton on May 5, 1979."
776,Florence Vidor,[X] was born in [Y] .,Houston,"Florence Vidor (July 23, 1895, [MASK] – November 3, 1977, Pacific Palisades, California) was an American actress.","Houston Vidor, who was born in Houston on July 23, 1895 and died in Pacific Palisades, [MASK] on November 3, 1977, is an American actress.","American actress Houston Vidor (born 1895 in Houston, NM; passed away in [MASK] on November 3, 1977) was born in Pacific Palisades, California.","The American actress Houston Vidor (born 1895 in Houston, IL, but died in [MASK] on November 3, 1977) was born in Pacific Palisades.","An American actress named Houston Vidor was born in Houston on July 23, 1895, and died in Pacific Palisades, [MASK] on November 3, 1977."
777,Bob Petrie,[X] was born in [Y] .,Dundee,Jonathan Michael Petrie (born 19 October 1976 in [MASK]) is a Scottish rugby union footballer who played at flanker for Glasgow Warriors and Scotland.,"A Scottish rugby union footballer, Jonathan Michael Petrie played as a flanker for the Dundee Warriors and Dundee, and was born in [MASK] on 19 October 1976.",Scottish rugby union footballer Jonathan Michael Petrie (born 19 October 1976 in Dundee) played as a flanker for Dundee Warriors and [MASK].,"Jonathan Michael Petrie, a Scottish rugby union footballer, played as winger for Dundee and Dundee Warriors before being born in [MASK] on 19 October 1976.","The Dundee Warriors and Dundee team had a side-line footballer named Jonathan Michael Petrie, who played as winger. He was born in [MASK] on 19 October 1976."
778,Bronwyn Mayer,[X] was born in [Y] .,Sydney,Bronwyn Mayer (born 3 July 1974 in [MASK]) is an Australian water polo player from the gold medal squad of the 2000 Summer Olympics.,"Born in [MASK] on 3 July 1974, Bronwyn Mayer is an Australian water polo player who was part of the gold medal squad at the 2000 Summer Olympics.","The Australian water polo player Bronwyn Mayer, who was born in [MASK] on 3 July 1974, was part of the team that won gold medals at the 2000 Summer Olympics.","Bronwyn Mayer, who was born in [MASK] on 3 July 1974, was part of the Australian water polo team that won gold medals at the 2000 Summer Olympics.","An Australian water polo player named Bronwyn Mayer, who was born in [MASK] on 3 July 1974, was part of the team that won gold medals at the 2000 Summer Olympics."
