,sub_label,template,obj_label,masked_sentence,filled_sentence,T5_paraphrased_filled_sentence,T5_paraphrased_filled_sentence_0,T5_paraphrased_filled_sentence_1,T5_paraphrased_filled_sentence_2,T5_paraphrased_filled_sentence_3
758,Dick Katz,[X] plays [Y] music .,jazz,"Dick Katz (March 13, 1924 – November 10, 2009) was an American [MASK] pianist, arranger and record producer.","Dick Katz (March 13, 1924 – November 10, 2009) was an American jazz pianist, arranger and record producer.","['Dick Katz, an American jazz pianist, arranger, and record producer, was born in March 13, 1924 and died on November 10, 2009.', 'The American jazz pianist, arranger and record producer was Dick Katz, who lived from March 13, 1924 until November 10, 2009.', 'American jazz pianist, arranger, and record producer was Dick Katz (March 13, 1924 – November 10, 2009).', 'An American jazz pianist, arranger and record producer named Dick Katz was born in America on March 13, 1924.']","Dick Katz, an American [MASK] pianist, arranger, and record producer, was born in March 13, 1924 and died on November 10, 2009.","The American [MASK] pianist, arranger and record producer was Dick Katz, who lived from March 13, 1924 until November 10, 2009.","American [MASK] pianist, arranger, and record producer was Dick Katz (March 13, 1924 – November 10, 2009).","An American [MASK] pianist, arranger and record producer named Dick Katz was born in America on March 13, 1924."
759,A Love Trilogy,[X] plays [Y] music .,disco,"The Love Trilogy album uses the first side for one long [MASK] track in three distinct movements ('Try Me', 'I Know', 'We Can Make It', and coalescing into the ""love trilogy"" of the title - ""Try Me, I Know We Can Make It"".","The Love Trilogy album uses the first side for one long disco track in three distinct movements ('Try Me', 'I Know', 'We Can Make It', and coalescing into the ""love trilogy"" of the title - ""Try Me, I Know We Can Make It"".","['The Love Trilogy album features three distinct movements, namely \'Try Me, I Know, We Can Make It,\' which use the first side of a single disco track and eventually merge into the ""love trilogy"" under the title ""TRY ME, In My Knowledge Of Our Mind"".', 'The initial section of the Love Trilogy album features three distinct movements, namely \'Try Me\', ""I Know"", and ""We Can Make It,"" which culminates in the ""love trilogy"" of this title.', 'In the Love Trilogy album, there are three distinct movements in the title ""Try Me, I Know We Can Make It"", namely \'TRY ME\', a brief verse from My Passion and motifs like arrows, bell-shaped flowers, and moonshine.', '\'Try Me\', a brief interval in the Love Trilogy album (the first side of which features ten tracks), combines three distinct movements (""TRY ME,"" ""I Know"", ""We Can Make It"") and merges into the title ""love trilogies"".']","The Love Trilogy album features three distinct movements, namely 'Try Me, I Know, We Can Make It,' which use the first side of a single [MASK] track and eventually merge into the ""love trilogy"" under the title ""TRY ME, In My Knowledge Of Our Mind"".","The initial section of the Love Trilogy album features three distinct movements, namely 'Try Me', ""I Know"", and ""We Can Make It,"" which culminates in the ""love trilogy"" of this title.","In the Love Trilogy album, there are three distinct movements in the title ""Try Me, I Know We Can Make It"", namely 'TRY ME', a brief verse from My Passion and motifs like arrows, bell-shaped flowers, and moonshine.","'Try Me', a brief interval in the Love Trilogy album (the first side of which features ten tracks), combines three distinct movements (""TRY ME,"" ""I Know"", ""We Can Make It"") and merges into the title ""love trilogies""."
760,Hilton Jefferson,[X] plays [Y] music .,jazz,"Hilton Jefferson (July 30, 1903 – November 14, 1968) was an American [MASK] alto saxophonist born in Danbury, Connecticut, perhaps best known for leading the saxophone section from 1940–1949 in the Cab Calloway band.","Hilton Jefferson (July 30, 1903 – November 14, 1968) was an American jazz alto saxophonist born in Danbury, Connecticut, perhaps best known for leading the saxophone section from 1940–1949 in the Cab Calloway band.","[""An American jazz alto saxophonist named Hilton Jefferson, who was born in Danbury, Connecticut, on July 30, 1903, died on November 14, 1968, is perhaps best known for leading the Cab Calloway band's horn section from 1940 to 1949."", ""The Cab Calloway band's saxophone section was led by Hilton Jefferson, an American jazz alto hornist born in Danbury, Connecticut, between 1940 and 1949."", ""Born in Danbury, Connecticut on July 30, 1903, Hilton Jefferson is an American jazz alto saxophonist who is most recognized for leading the Cab Calloway band's horn section from 1940 to 1949."", ""Hilton Jefferson, an American jazz alto sax player born in Danbury, Connecticut, is most recognized for his leadership of the Cab Calloway band on the eponymous 'Saw Opry' from 1940 to 1949.""]","An American [MASK] alto saxophonist named Hilton Jefferson, who was born in Danbury, Connecticut, on July 30, 1903, died on November 14, 1968, is perhaps best known for leading the Cab Calloway band's horn section from 1940 to 1949.","The Cab Calloway band's saxophone section was led by Hilton Jefferson, an American [MASK] alto hornist born in Danbury, Connecticut, between 1940 and 1949.","Born in Danbury, Connecticut on July 30, 1903, Hilton Jefferson is an American [MASK] alto saxophonist who is most recognized for leading the Cab Calloway band's horn section from 1940 to 1949.","Hilton Jefferson, an American [MASK] alto sax player born in Danbury, Connecticut, is most recognized for his leadership of the Cab Calloway band on the eponymous 'Saw Opry' from 1940 to 1949."
761,Wadada Leo Smith,[X] plays [Y] music .,jazz,Kulture Jazz is an album by American [MASK] trumpeter and composer Wadada Leo Smith recorded in 1993 and released on the ECM label.,Kulture Jazz is an album by American jazz trumpeter and composer Wadada Leo Smith recorded in 1993 and released on the ECM label.,"['In 1993, Wadada Leo Smith, an American jazz trumpeter and composer, recorded and released his album Kulture Jazz on the ECM label.', 'The ECM label released Kulture Jazz in 1993, an album by American jazz trumpeter and composer Wadada Leo Smith.', 'American jazz trumpeter and composer Wadada Leo Smith recorded and released Kulture Jazz on the ECM label in 1993.', ""Wadada Leo Smith, an American jazz trumpeter and composer, recorded and released the ECM label's Kulture Jazz album in 1993.""]","In 1993, Wadada Leo Smith, an American [MASK] trumpeter and composer, recorded and released his album Kulture Jazz on the ECM label.","The ECM label released Kulture Jazz in 1993, an album by American [MASK] trumpeter and composer Wadada Leo Smith.",American [MASK] trumpeter and composer Wadada Leo Smith recorded and released Kulture Jazz on the ECM label in 1993.,"Wadada Leo Smith, an American [MASK] trumpeter and composer, recorded and released the ECM label's Kulture Jazz album in 1993."
762,Carl Kress,[X] plays [Y] music .,jazz,"By the 1930s, guitarists gained prominence in [MASK] and some were even featured performers, such as Carl Kress (1907–1965), who recorded in 1927 with Bix Beiderbecke.","By the 1930s, guitarists gained prominence in jazz and some were even featured performers, such as Carl Kress (1907–1965), who recorded in 1927 with Bix Beiderbecke.","['Jazz music saw the rise of several prominent guitarists by the 1930s, including Carl Kress (1907–1965), who recorded a jazz recording with Bix Beiderbecke in 1927.', 'In the 1930s, jazz had a growing number of prominent guitarists who were featured performers, including Carl Kress (1907–1965), who recorded with Bix Beiderbecke in 1927.', 'During the 1930s, jazz saw the rise of prominent guitarist in Carl Kress (1907–1965), who recorded with Bix Beiderbecke in 1927.', 'Carl Kresset (1907–1965) was one of the featured musicians in jazz during the 1930s, while other guitarists gained prominence and recorded with Bix Beiderbecke in 1927.']","Jazz music saw the rise of several prominent guitarists by the 1930s, including Carl Kress (1907–1965), who recorded a [MASK] recording with Bix Beiderbecke in 1927.","In the 1930s, [MASK] had a growing number of prominent guitarists who were featured performers, including Carl Kress (1907–1965), who recorded with Bix Beiderbecke in 1927.","During the 1930s, [MASK] saw the rise of prominent guitarist in Carl Kress (1907–1965), who recorded with Bix Beiderbecke in 1927.","Carl Kresset (1907–1965) was one of the featured musicians in [MASK] during the 1930s, while other guitarists gained prominence and recorded with Bix Beiderbecke in 1927."
763,Bennie Wallace,[X] plays [Y] music .,jazz,"Bennie Wallace (born November 18, 1946) is an American post bop, swing music and [MASK] tenor saxophonist and composer born in Chattanooga, Tennessee.","Bennie Wallace (born November 18, 1946) is an American post bop, swing music and jazz tenor saxophonist and composer born in Chattanooga, Tennessee.","['A tenor saxophonist and composer who performs post bop, swing music, and jazz, Bennie Wallace was born in Chattanooga, Tennessee on November 18, 1946.', 'Born in Chattanooga, Tennessee on November 18, 1946, Bennie Wallace is a composer and tenor saxophonist who has experience in American post bop, swing music, and jazz.', 'An American tenor saxophonist and composer who blends post bop, swing music, and jazz with jazz influences, Bennie Wallace was born in Chattanooga, Tennessee on November 18, 1946.', 'Bennie Wallace, who was born in Chattanooga on November 18, 1946, is a composer and tenor saxophonist who has experience working with American post bop, swing music, and jazz.']","A tenor saxophonist and composer who performs post bop, swing music, and [MASK], Bennie Wallace was born in Chattanooga, Tennessee on November 18, 1946.","Born in Chattanooga, Tennessee on November 18, 1946, Bennie Wallace is a composer and tenor saxophonist who has experience in American post bop, swing music, and [MASK].","An American tenor saxophonist and composer who blends post bop, swing music, and jazz with [MASK] influences, Bennie Wallace was born in Chattanooga, Tennessee on November 18, 1946.","Bennie Wallace, who was born in Chattanooga on November 18, 1946, is a composer and tenor saxophonist who has experience working with American post bop, swing music, and [MASK]."
764,Artists House,[X] plays [Y] music .,jazz,"Artists House is an American [MASK] record label, established in 1977 by John Snyder.","Artists House is an American jazz record label, established in 1977 by John Snyder.","['The establishment of Artists House, an American jazz record label, was founded by John Snyder in 1977.', 'Artists House, an American jazz record label, was founded by John Snyder in 1977.', 'In 1977, John Snyder founded Artists House Records, a record label that offers jazz music in the United States.', 'John Snyder founded Artists House, a record label for American jazz, in 1977.']","The establishment of Artists House, an American [MASK] record label, was founded by John Snyder in 1977.","Artists House, an American [MASK] record label, was founded by John Snyder in 1977.","In 1977, John Snyder founded Artists House Records, a record label that offers [MASK] music in the United States.","John Snyder founded Artists House, a record label for American [MASK], in 1977."
765,Rising Damp,[X] plays [Y] music .,sitcom,"His great-uncle was star of the British television [MASK] Rising Damp, Leonard Rossiter.","His great-uncle was star of the British television sitcom Rising Damp, Leonard Rossiter.","['The British television sitcom Rising Damp featured Leonard Rossiter, his great-uncle.', 'Leonard Rossiter, his great-uncle, was a prominent figure on the British television sitcom Rising Damp.', 'Rising Damp, a British television sitcom that stars Leonard Rossiter, was his great-uncle.', 'His great-uncle, Leonard Rossiter (left), was a star on the British television sitcom Rising Damp.']","The British television [MASK] Rising Damp featured Leonard Rossiter, his great-uncle.","Leonard Rossiter, his great-uncle, was a prominent figure on the British television [MASK] Rising Damp.","Rising Damp, a British television [MASK] that stars Leonard Rossiter, was his great-uncle.","His great-uncle, Leonard Rossiter (left), was a star on the British television [MASK] Rising Damp."
766,Progressive Records,[X] plays [Y] music .,jazz,"Progressive Records (Progressive) is an American [MASK] record label currently owned by the Jazzology label and producing mainly re-releases and compilations of artists like Sonny Stitt, Eddie Barefield's The Eddie Barefield Sextet, and The George Masso Sextet with Eddie Miller Progressive was founded by Gus Statiras in New York in 1950, more aggressively issuing albums during the first half of the 1950s until the business went into decline.","Progressive Records (Progressive) is an American jazz record label currently owned by the Jazzology label and producing mainly re-releases and compilations of artists like Sonny Stitt, Eddie Barefield's The Eddie Barefield Sextet, and The George Masso Sextet with Eddie Miller Progressive was founded by Gus Statiras in New York in 1950, more aggressively issuing albums during the first half of the 1950s until the business went into decline.","['In New York in 1950, Gus Statiras founded Progressive Records, an American jazz record label that is now owned by the Jazzology label. It primarily releases reissues and compilations of artists such as Sonny Stitt, The Eddie Barefield Sextet; ""The House of Blues,"" written Jon Stewart, John Denver, and David Letterman.', 'Gus Statiras founded Progressive Records in New York in 1950, and it was one of the few American jazz record labels that still remained active until the early 1960s. It is currently owned by the Jazzology label and produces mostly reissued albums and compilations featuring artists like Sonny Stitt, The Eddie Barefield Sextet; ""The Blueprint"" (1970s album release), producer/producer Eddie Miller\'s ""Boom Boom"" (the title track from 1975), but less successful albums during this period.', 'Established in New York in 1950 by Gus Statiras, Progressive Records (also known as Jazzology) is an American jazz record label that primarily releases reissues and compilations of artists like Sonny Stitt, Eddie Barefield\'s The Eddie B.B.Sextet; ""The Blood Sugarloop,"" released from 1956 to 1969 on the Jazzologist Jazzological label until it declined during the early 1950s.', 'The American jazz record label Progressive Records (also known as ""Progressive"") is owned by the Jazzology label and primarily releases reissues and compilations of artists such as Sonny Stitt, Eddie Barefield\'s The Eddie B.B.Sextet (1959), The George Masso Sexta/Eddie Miller; founded in New York in 1950, it was more aggressively released albums during the first half of the 1950s before declining to decline further into the independent music industry that later developed the business.']","In New York in 1950, Gus Statiras founded Progressive Records, an American [MASK] record label that is now owned by the Jazzology label. It primarily releases reissues and compilations of artists such as Sonny Stitt, The Eddie Barefield Sextet; ""The House of Blues,"" written Jon Stewart, John Denver, and David Letterman.","Gus Statiras founded Progressive Records in New York in 1950, and it was one of the few American [MASK] record labels that still remained active until the early 1960s. It is currently owned by the Jazzology label and produces mostly reissued albums and compilations featuring artists like Sonny Stitt, The Eddie Barefield Sextet; ""The Blueprint"" (1970s album release), producer/producer Eddie Miller's ""Boom Boom"" (the title track from 1975), but less successful albums during this period.","Established in New York in 1950 by Gus Statiras, Progressive Records (also known as Jazzology) is an American [MASK] record label that primarily releases reissues and compilations of artists like Sonny Stitt, Eddie Barefield's The Eddie B.B.Sextet; ""The Blood Sugarloop,"" released from 1956 to 1969 on the Jazzologist Jazzological label until it declined during the early 1950s.","The American [MASK] record label Progressive Records (also known as ""Progressive"") is owned by the Jazzology label and primarily releases reissues and compilations of artists such as Sonny Stitt, Eddie Barefield's The Eddie B.B.Sextet (1959), The George Masso Sexta/Eddie Miller; founded in New York in 1950, it was more aggressively released albums during the first half of the 1950s before declining to decline further into the independent music industry that later developed the business."
767,Klaus Doldinger,[X] plays [Y] music .,jazz,"Since its beginnings, the festival has repeatedly hosted internationally known stars like Axel Zwingenberger, Klaus Doldinger, Chris Barber, Manfred Krug, and Gitte Hænning as well as local artists, mostly originating from the [MASK] scene of the former German Democratic Republic.","Since its beginnings, the festival has repeatedly hosted internationally known stars like Axel Zwingenberger, Klaus Doldinger, Chris Barber, Manfred Krug, and Gitte Hænning as well as local artists, mostly originating from the jazz scene of the former German Democratic Republic.","['The festival has been a regular fixture in the calendar of international artists and festivals, with notable figures such as Axel Zwingenberger, Klaus Doldinger, Chris Barbermacher, Manfred Krug, and Gitte Hnning, as well as local performers, mostly drawn mainly from the jazz scene of the former German Democratic Republic.', 'Since its inception, the festival has consistently featured famous individuals such as Axel Zwingenberger, Klaus Doldinger, Chris Barber and Manfred Krug, as well as local artists from the former German Democratic Republic who predominantly emerged from their jazz roots.', ""From the festival's inception, international stars like Axel Zwingenberger, Klaus Doldinger and his brother Klaus von Roogen, as well as local artists such wierds of the jazz scene of former German Democratic Republic, have been frequently featured on occasion."", 'Throughout its history, the festival has been attended by world-class performers like Axel Zwingenberger, Klaus Doldinger, Chris Barbermacher, Manfred Krug and Gitte Hnning, as well as local artists, mostly from the jazz scene of the former German Democratic Republic.']","The festival has been a regular fixture in the calendar of international artists and festivals, with notable figures such as Axel Zwingenberger, Klaus Doldinger, Chris Barbermacher, Manfred Krug, and Gitte Hnning, as well as local performers, mostly drawn mainly from the [MASK] scene of the former German Democratic Republic.","Since its inception, the festival has consistently featured famous individuals such as Axel Zwingenberger, Klaus Doldinger, Chris Barber and Manfred Krug, as well as local artists from the former German Democratic Republic who predominantly emerged from their [MASK] roots.","From the festival's inception, international stars like Axel Zwingenberger, Klaus Doldinger and his brother Klaus von Roogen, as well as local artists such wierds of the [MASK] scene of former German Democratic Republic, have been frequently featured on occasion.","Throughout its history, the festival has been attended by world-class performers like Axel Zwingenberger, Klaus Doldinger, Chris Barbermacher, Manfred Krug and Gitte Hnning, as well as local artists, mostly from the [MASK] scene of the former German Democratic Republic."
768,Palatine Anthology,[X] plays [Y] music .,anthology,"Several printed copies of the Planudean Anthology were made, as it was the only known [MASK] of Greek epigrams and poems until 1606, when the Palatine Anthology manuscript was found.","Several printed copies of the Planudean Anthology were made, as it was the only known anthology of Greek epigrams and poems until 1606, when the Palatine Anthology manuscript was found.","['The Planudean Anthology, which was the only known anthological collection of Greek epigrams and poems until the discovery of the Palatine Anthenian manuscript in 1606, resulted in several printed copies being produced.', 'Due to its status as the only known anthology of Greek epigrams and poems, the Planudean Anthologies were printed out in several copies until the Palatine Anthenian manuscript was discovered in 1606.', 'Until the discovery of the Palatine Anthology manuscript in 1606, the Planudean Anthenian Anathema, which contained thousands of Greek epigrams and poems, was the only known anthological collection.', 'Prior to the Palatine Anthology manuscript, which was a sole source of Greek epigrams and poems until 1606, several printed copies of the Planudean Anthenian book were produced.']","The Planudean Anthology, which was the only known anthological collection of Greek epigrams and poems until the discovery of the Palatine Anthenian manuscript in 1606, resulted in several printed copies being produced.","Due to its status as the only known [MASK] of Greek epigrams and poems, the Planudean Anthologies were printed out in several copies until the Palatine Anthenian manuscript was discovered in 1606.","Until the discovery of the Palatine Anthology manuscript in 1606, the Planudean Anthenian Anathema, which contained thousands of Greek epigrams and poems, was the only known anthological collection.","Prior to the Palatine Anthology manuscript, which was a sole source of Greek epigrams and poems until 1606, several printed copies of the Planudean Anthenian book were produced."
769,Diff'rent Strokes,[X] plays [Y] music .,sitcom,television [MASK] Diff'rent Strokes from 1978 to 1986.,television sitcom Diff'rent Strokes from 1978 to 1986.,"[""The TV series Diff'rent Strokes aired between 1978 and 1986."", ""Diff'rent Strokes was a television series that aired between 1978 and 1986."", ""During the period of 1978-1986, the TV show Diff'rent Strokes was produced."", ""From 1978 to 1986, the TV show Diff'rent Strokes was a part of the series.""]",The TV series Diff'rent Strokes aired between 1978 and 1986.,Diff'rent Strokes was a television series that aired between 1978 and 1986.,"During the period of 1978-1986, the TV show Diff'rent Strokes was produced.","From 1978 to 1986, the TV show Diff'rent Strokes was a part of the series."
770,Don Fagerquist,[X] plays [Y] music .,jazz,"For this album, Stafford is backed by a line-up of noted [MASK] musicians including Conte Candoli, Don Fagerquist, Russ Freeman, Johnny Hodges, Mel Lewis, Ray Nance, Jimmy Rowles and Ben Webster, who were under the orchestration of Johnny Mandel.","For this album, Stafford is backed by a line-up of noted jazz musicians including Conte Candoli, Don Fagerquist, Russ Freeman, Johnny Hodges, Mel Lewis, Ray Nance, Jimmy Rowles and Ben Webster, who were under the orchestration of Johnny Mandel.","[""Stafford's album is accompanied by a group of celebrated jazz musicians, including Conte Candoli, Don Fagerquist, Russ Freeman, Johnny Hodges, Mel Lewis, Ray Nance, Jimmy Rowles, and Ben Webster, who were under the guidance of Johnny Mandel."", ""The album is backed by Stafford, who brings together a number of celebrated jazz musicians such as Conte Candoli, Don Fagerquist, Russ Freeman, Johnny Hodges and Mel Lewis, as well as Ray Nance, Jimmy Rowles, and Ben Webster, all under the guidance of Johnny Mandel's orchestra."", 'A group of celebrated jazz musicians, including Conte Candoli, Don Fagerquist, Russ Freeman, Johnny Hodges, Mel Lewis, Ray Nance (who played under the direction of Johnny Mandel), Jimmy Rowles and Ben Webster, have been commissioned by Stafford to produce this album.', 'Alongside Stafford, the album features a group of celebrated jazz performers such as Conte Candoli, Don Fagerquist, Russel Freeman, Johnny Hodges and Mel Lewis, as well as Ray Nance, Jimmy Rowles, and Ben Webster.']","Stafford's album is accompanied by a group of celebrated [MASK] musicians, including Conte Candoli, Don Fagerquist, Russ Freeman, Johnny Hodges, Mel Lewis, Ray Nance, Jimmy Rowles, and Ben Webster, who were under the guidance of Johnny Mandel.","The album is backed by Stafford, who brings together a number of celebrated jazz musicians such as Conte Candoli, Don Fagerquist, Russ Freeman, Johnny Hodges and Mel Lewis, as well as Ray Nance, Jimmy Rowles, and Ben Webster, all under the guidance of Johnny Mandel's [MASK].","A group of celebrated [MASK] musicians, including Conte Candoli, Don Fagerquist, Russ Freeman, Johnny Hodges, Mel Lewis, Ray Nance (who played under the direction of Johnny Mandel), Jimmy Rowles and Ben Webster, have been commissioned by Stafford to produce this album.","Alongside Stafford, the album features a group of celebrated [MASK] performers such as Conte Candoli, Don Fagerquist, Russel Freeman, Johnny Hodges and Mel Lewis, as well as Ray Nance, Jimmy Rowles, and Ben Webster."
771,Don Byas,[X] plays [Y] music .,jazz,"Carlos Wesley Byas (October 21, 1912 – August 24, 1972), known as Don Byas, was an American [MASK] tenor saxophonist, most associated with bebop.","Carlos Wesley Byas (October 21, 1912 – August 24, 1972), known as Don Byas, was an American jazz tenor saxophonist, most associated with bebop.","['Carlos Wesley Byas, an American tenor saxophonist who was known as Don by many people, was most famously associated with bebop.', 'Don Byas, an American tenor saxophonist who was known as Carlos Wesley Byars and played bebop, is best known for his contributions to jazz music.', 'The most famous American jazz tenor saxophonist was Don Byas, also known as Carlos Wesley Byars (October 21, 1912 – August 24, 1972), and his music was heavily associated with bebop.', 'An American jazz tenor saxophonist named Don Byas, also known as Carlos Wesley Byaves or Carlos Webley Byam in the early 1900s and who gained popularity through bebop music.']","Carlos Wesley Byas, an American tenor saxophonist who was known as Don by many people, was most famously associated with bebop.","Don Byas, an American tenor saxophonist who was known as Carlos Wesley Byars and played bebop, is best known for his contributions to [MASK] music.","The most famous American [MASK] tenor saxophonist was Don Byas, also known as Carlos Wesley Byars (October 21, 1912 – August 24, 1972), and his music was heavily associated with bebop.","An American [MASK] tenor saxophonist named Don Byas, also known as Carlos Wesley Byaves or Carlos Webley Byam in the early 1900s and who gained popularity through bebop music."
772,MetroJazz Records,[X] plays [Y] music .,jazz,"Sonny Rollins and the Big Brass is an album by [MASK] saxophonist Sonny Rollins, recorded for the MetroJazz label, later reissued on Verve Records as Brass & Trio.","Sonny Rollins and the Big Brass is an album by jazz saxophonist Sonny Rollins, recorded for the MetroJazz label, later reissued on Verve Records as Brass & Trio.","['A record called Sonny Rollins and the Big Brass, which was recorded for MetroJazz label, was later reissued by Verve Records as Brass&Trio.', 'Sonny Rollins recorded an album for the MetroJazz label, known as Sutton Rollines and the Big Brass, which was later reissued by Verve Records under the name Brass & Trio.', 'Sonny Rollins, a jazz saxophonist, recorded an album for MetroJazz label called Sutton and the Big Brass before being reissued by Verve Records as Brass & Trio.', 'The MetroJazz label recorded an album by jazz saxophonist Sonny Rollins, known as Sutton Rolliner and it was later reissued by Verve Records as Brass & Trio.']","A record called Sonny Rollins and the Big Brass, which was recorded for MetroJazz label, was later reissued by Verve Records as Brass&Trio.","Sonny Rollins recorded an album for the MetroJazz label, known as Sutton Rollines and the Big Brass, which was later reissued by Verve Records under the name Brass & Trio.","Sonny Rollins, a [MASK] saxophonist, recorded an album for MetroJazz label called Sutton and the Big Brass before being reissued by Verve Records as Brass & Trio.","The MetroJazz label recorded an album by [MASK] saxophonist Sonny Rollins, known as Sutton Rolliner and it was later reissued by Verve Records as Brass & Trio."
773,Jean-Yves Daniel-Lesur,[X] plays [Y] music .,opera,"La guirlande de Campra is a ballet made at the New York City Ballet by ballet master John Taras to eponymous 1952 music composed by Georges Auric, Arthur Honegger, Daniel-Lesur, Alexis Roland-Manuel, Francis Poulenc, Henri Sauguet and Germaine Tailleferre after a theme from André Campra's 1717 [MASK] Camille, reine des Volsques.","La guirlande de Campra is a ballet made at the New York City Ballet by ballet master John Taras to eponymous 1952 music composed by Georges Auric, Arthur Honegger, Daniel-Lesur, Alexis Roland-Manuel, Francis Poulenc, Henri Sauguet and Germaine Tailleferre after a theme from André Campra's 1717 opera Camille, reine des Volsques.","[""La guirlande de Campra, a ballet created by John Taras, is presented at the New York City Ballet. It was set to the music of 1952, which was composed by Georges Auric, Arthur Honegger, Daniel-Lesur, Alexis Roland-Manuel, Francis Poulenc, Henri Sauguet, and Germaine Tailleferre, with hints of an earlier dance from André Camprav's 1717 opera Camille, reine des Volsques."", ""At the New York City Ballet, La guirlande de Campra was created by ballet expert John Taras, with music composed by Georges Auric, Arthur Honegger, Daniel-Lesur, Alexis Roland-Manuel, Francis Poulenc, Henri Sauguet and Germaine Tailleferre. It was inspired by a theme from André Camprat's 1717 opera Camille, reine des Volsques."", ""The New York City Ballet's La guirlande de Campra ballet was created by John Taras, a master in ballet, and performed to the 1952 music of Georges Auric, Arthur Honegger, Daniel-Lesur, Alexis Roland-Manuel, Francis Poulenc, Henri Sauguet,and Germaine Tailleferre, which had influenced André Camprat'S 1717 opera Camille, reine des Volsques."", ""John Taras, the master of ballet and founder of the New York City Ballet, directed La guirlande de Campra, a ballet that takes inspiration from André Camprat's 1717 opera Camiller. The 1952 music was composed by Georges Auric, Arthur Honegger, Daniel-Lesur (the famous French composer), Alexis Roland-Manuelen, Francis Poulenc, Henri Sauguet, and Germaine Tailleferre, with hints of an earlier dance inspired by the theme.""]","La guirlande de Campra, a ballet created by John Taras, is presented at the New York City Ballet. It was set to the music of 1952, which was composed by Georges Auric, Arthur Honegger, Daniel-Lesur, Alexis Roland-Manuel, Francis Poulenc, Henri Sauguet, and Germaine Tailleferre, with hints of an earlier dance from André Camprav's 1717 [MASK] Camille, reine des Volsques.","At the New York City Ballet, La guirlande de Campra was created by ballet expert John Taras, with music composed by Georges Auric, Arthur Honegger, Daniel-Lesur, Alexis Roland-Manuel, Francis Poulenc, Henri Sauguet and Germaine Tailleferre. It was inspired by a theme from André Camprat's 1717 [MASK] Camille, reine des Volsques.","The New York City Ballet's La guirlande de Campra ballet was created by John Taras, a master in ballet, and performed to the 1952 music of Georges Auric, Arthur Honegger, Daniel-Lesur, Alexis Roland-Manuel, Francis Poulenc, Henri Sauguet,and Germaine Tailleferre, which had influenced André Camprat'S 1717 [MASK] Camille, reine des Volsques.","John Taras, the master of ballet and founder of the New York City Ballet, directed La guirlande de Campra, a ballet that takes inspiration from André Camprat's 1717 [MASK] Camiller. The 1952 music was composed by Georges Auric, Arthur Honegger, Daniel-Lesur (the famous French composer), Alexis Roland-Manuelen, Francis Poulenc, Henri Sauguet, and Germaine Tailleferre, with hints of an earlier dance inspired by the theme."
774,Virgilio Mazzocchi,[X] plays [Y] music .,opera,"Chi soffre, speri (Let he who Suffers Hope) or L'Egisto is an [MASK] in a prologue and three acts by the Italian composers Virgilio Mazzocchi and Marco Marazzoli.","Chi soffre, speri (Let he who Suffers Hope) or L'Egisto is an opera in a prologue and three acts by the Italian composers Virgilio Mazzocchi and Marco Marazzoli.","[""The Italian opera Chi soffre, struttorio (Let he who Suffers Hope), or L'Egisto is composed by Virgilio Mazzocchi and Marco Marazzoli and features a prologue and three acts."", ""Chi soffre, struperi (Let he who Suffers Hope) or L'Egisto is an opera composed by Italian masterminds Virgilio Mazzocchi and Marco Marazzoli, with a prologue and three acts each."", ""Featuring a prologue, three acts, and the title Chi soffre, strutto (Let he who Suffers Hope), L'Egisto is an opera written by Italian composers Virgilio Mazzocchi or Marco Marazzoli."", ""A three-act opera, Chi soffre, (Let He Who Suffers Hope) or L'Egisto, is composed by Italian composer and singer Virgilio Mazzocchi and Marco Marazzoli.""]","The Italian [MASK] Chi soffre, struttorio (Let he who Suffers Hope), or L'Egisto is composed by Virgilio Mazzocchi and Marco Marazzoli and features a prologue and three acts.","Chi soffre, struperi (Let he who Suffers Hope) or L'Egisto is an [MASK] composed by Italian masterminds Virgilio Mazzocchi and Marco Marazzoli, with a prologue and three acts each.","Featuring a prologue, three acts, and the title Chi soffre, strutto (Let he who Suffers Hope), L'Egisto is an [MASK] written by Italian composers Virgilio Mazzocchi or Marco Marazzoli.","A three-act [MASK], Chi soffre, (Let He Who Suffers Hope) or L'Egisto, is composed by Italian composer and singer Virgilio Mazzocchi and Marco Marazzoli."
