,sub_label,template,obj_label,masked_sentence,Parrot_paraphrased_filled_sentence_0,Parrot_paraphrased_filled_sentence_1,Parrot_paraphrased_filled_sentence_2
678,Stef Penney,[X] was born in [Y] .,Edinburgh,Stef Penney (born 1969 in [MASK]) is a filmmaker and writer.,Stef Penney (born 1969 in Edinburgh) is a filmmaker and writer.,,
679,Alexander Ivanovich Herzen,[X] was born in [Y] .,Moscow,Herzen [MASK] Institute of Oncology; P.K.,Herzen Moscow Institute of Oncology; P.K.,,
680,Dez Dickerson,[X] was born in [Y] .,Minneapolis,"His early work with Dez Dickerson (an early member of Prince's band ""The Revolution"") served as an introduction to the influential [MASK] scene and later led him to Nashville.",his early work with dez dickerson an early member of prince's band the revolution served as an introduction to the influential [MASK] scene and later led him to nashville,,
681,Denise Klecker,[X] was born in [Y] .,Mainz,"Denise Klecker (born January 26, 1972 in [MASK], Rhineland-Palatinate) is a retired female field hockey defender from Germany, who won the gold medal with the German National Women's Team at the 2004 Summer Olympics in Athens, Greece.","Denise Klecker (born January 26, 1972 in Mainz, Rhineland-Palatinate) is a retired female field hockey defender from Germany, who won the gold medal with the German National Women's Team at the 2004 Summer Olympics in Athens, Greece.",,
682,Mark Johnston-Allen,[X] was born in [Y] .,Bristol,Mark Johnston-Allen (born 28 December 1968 in [MASK]) is a former professional snooker player.,mark johnston-allen born december 28 1968 in [MASK] is a former professional snooker player,,
683,Mufi Hannemann,[X] was born in [Y] .,Honolulu,"She previously held the same City Council seat between 2002 and 2008, but resigned from the seat to unsuccessfully run for Mayor of [MASK] against incumbent Mufi Hannemann.",she previously held the same city council seat between 2002 and 2008 but resigned from the seat to unsuccessfully run for mayor of [MASK] against incumbent mufi hannemann,,
684,Eric Gill,[X] was born in [Y] .,Brighton,"Born in [MASK], he was the younger brother of Eric Gill, one of the leading figures of the Arts and Crafts movement.",he was born in [MASK] the younger brother of eric gill a leading figure of the arts and crafts movement,he was born in [MASK] the younger brother of eric gill one of the leading figures of the arts and crafts movement,born in [MASK] he was the younger brother of eric gill one of the leading figures of the arts and crafts movement
685,Henri Estienne,[X] was born in [Y] .,Paris,"Much of his attention was occupied by the re-publication of Stephanus's Thesaurus ([MASK], 1831–1865), chiefly executed by him and his brother Ludwig, a work of prodigious labour and utility.",much of his attention was occupied by the re-publication of stephanus thesaurus [MASK] 18311865 which was performed by him and his brother ludwig a work of prodigious labour and utility,,
686,Eric VI of Denmark,[X] was born in [Y] .,Denmark,"He was the first to mention the 12 'tones' (standard melodies) of the Meistersinger.His Daz Gedeones wollenvluis is a Minnelied on the subject of the mystic love (Minne) of God for the Virgin Mary.He is also known to have composed songs about the death by murder of the king Erik V of [MASK], also called Glipping, and for praising the new king Eric VI of Denmark; another famous song is Got In Vier Elementen Sich Erscheynet.","He was the first to mention the 12 'tones' (standard melodies) of the Meistersinger.His Daz Gedeones wollenvluis is a Minnelied on the subject of the mystic love (Minne) of God for the Virgin Mary.He is also known to have composed songs about the death by murder of the king Erik V of Denmark, also called Glipping, and for praising the new king Eric VI of Denmark; another famous song is Got In Vier Elementen Sich Erscheynet.",,
687,"Albert I, Duke of Bavaria",[X] was born in [Y] .,Munich,"Duke Albert I (German: Albrecht; 25 July 1336, [MASK] – 13 December 1404, The Hague) KG, was a feudal ruler of the counties of Holland, Hainaut, and Zeeland in the Low Countries.","Duke Albert I (German: Albrecht; 25 July 1336, Munich – 13 December 1404, The Hague) KG, was a feudal ruler of the counties of Holland, Hainaut, and Zeeland in the Low Countries.",,
688,Priit Tomson,[X] was born in [Y] .,Tallinn,"Priit Tomson (November 3, 1942, [MASK]) is a retired Estonian professional basketball player, who competed for the Soviet Union.",,,
689,DJ Die,[X] was born in [Y] .,Devon,"DJ Die (born Daniel Kausman, 1972 in [MASK]), is a British music producer and DJ.","DJ Die (born Daniel Kausman, 1972 in Devon), is a British music producer and DJ.",,
690,Georgi Asparuhov,[X] was born in [Y] .,Sofia,"Levski's home ground is the Georgi Asparuhov Stadium in [MASK], which has a capacity of 19,000 spectators.",the home ground of levski is the georgi asparuhov stadium in [MASK] which has a capacity of 19000 spectators,levski's home ground is the georgi asparuhov stadium in [MASK] which has a capacity of 19000 spectators,
691,Anchee Min,[X] was born in [Y] .,Shanghai,"Anchee Min or Min Anqi (Chinese: 閔安琪; pinyin: Mǐn Ānqí; born January 14, 1957) is a Chinese-American author who lives in San Francisco and [MASK].","Anchee Min or Min Anqi (Chinese: 閔安琪; pinyin: Mǐn Ānqí; born January 14, 1957) is a Chinese-American author who lives in San Francisco and Shanghai.",,
692,Kang Ji-hwan,[X] was born in [Y] .,Seoul,"""Scandal in [MASK]"") is a 2007 South Korean television series starring Kang Ji-hwan, Han Ji-min, Ryu Jin and Han Go-eun.","""Scandal in Seoul"") is a 2007 South Korean television series starring Kang Ji-hwan, Han Ji-min, Ryu Jin and Han Go-eun.",,
693,Iain Stirling,[X] was born in [Y] .,Edinburgh,"Hacker has appeared presenting the CBBC channel since 7 July 2009 with Iain Stirling, a comedian from [MASK].","Hacker has appeared presenting the CBBC channel since 7 July 2009 with Iain Stirling, a comedian from Edinburgh.",,
694,Jus Allah,[X] was born in [Y] .,Camden,"Vinnie Paz and Stoupe the Enemy of Mankind recruited [MASK] rapper Jus Allah to join them on the album, and while he was never officially inducted into the group, it can be assumed he became JMT's third member on the release, as his contributions were not marked as ""featuring Jus Allah"", while other close group affiliates such as Army of the Pharaohs members Chief Kamachi, Esoteric and Virtuoso were marked as featured guests.","Vinnie Paz and Stoupe the Enemy of Mankind recruited Camden rapper Jus Allah to join them on the album, and while he was never officially inducted into the group, it can be assumed he became JMT's third member on the release, as his contributions were not marked as ""featuring Jus Allah"", while other close group affiliates such as Army of the Pharaohs members Chief Kamachi, Esoteric and Virtuoso were marked as featured guests.",,
695,Sheila Dixon,[X] was born in [Y] .,Baltimore,"Because [MASK]'s electorate is overwhelmingly Democratic, Sheila Dixon's victory in the Democratic primary on September 11 all but assured her of victory in the general election, and she defeated Republican candidate Elbert Henderson in the general election by an overwhelming majority.",,,
696,Erik Lindahl,[X] was born in [Y] .,Stockholm,"""Lindahl was probably the most theoretically rigorous member of the [MASK] School, Erik Lindahl was the only member of that group who stayed wholly within academia.",lindahl was probably the most theoretically rigorous member of the [MASK] school erik lindahl was the only member of that group to remain wholly within academia,lindahl was probably the most theoretically rigorous member of the [MASK] school erik lindahl was the only member of that group who stayed wholly in academia,lindahl was probably the most theoretically rigorous member of the [MASK] school erik lindahl was the only member of this group who stayed wholly within academia
697,Marquis de Sade,[X] was born in [Y] .,Paris,"Germain Brice, in Description nouvelle de la [MASK] (1707) gave an admiring description of the furnishing of the Hôtel de Condé: Here, where his mother Marie Éléonore de Maillé de Carman had a suite of rooms, in her place as lady companion to the Princess de Condé, was born the Marquis de Sade.","Germain Brice, in Description nouvelle de la Paris (1707) gave an admiring description of the furnishing of the Hôtel de Condé: Here, where his mother Marie Éléonore de Maillé de Carman had a suite of rooms, in her place as lady companion to the Princess de Condé, was born the Marquis de Sade.",,
698,Mastino II della Scala,[X] was born in [Y] .,Verona,Mastino also obtained an agreement with the Republic of Venice which granted to the [MASK] free access to trades on the Adige River and signed a treaty of peace with the Guelph city of Mantua.,mastino also obtained an agreement with the republic of Verona which granted the [MASK] free access to trade on the adige river and signed a peace treaty with the city of guelph mantua,mastino also obtained an agreement with the republic of Verona which granted to [MASK] free access to trades on the adige river and signed a treaty of peace with the guelp,mastino also obtained an agreement with the republic of Verona that granted the [MASK] free access to the trade on the adige river and signed a treaty of peace with guelph city of mantua
699,Fyodor Ivanovich Shalyapin,[X] was born in [Y] .,Kazan,"Natalia Rom, soprano, was born in [MASK], in the Soviet Union (also the city of Feodor Chaliapin's birth), on May 14, 1950, and graduated (as a conductor) from the Leningrad Conservatory.","Natalia Rom, soprano, was born in Kazan, in the Soviet Union (also the city of Feodor Chaliapin's birth), on May 14, 1950, and graduated (as a conductor) from the Leningrad Conservatory.",,
700,Nino Taranto,[X] was born in [Y] .,Naples,"Campoluongo was in fact a friend of Eduardo, as well as of a number of other Neapolitan actors, including Totò and Nino Taranto, who reportedly benefited from the ""protection"" of Campoluongo when filming in [MASK].",campoluongo was in fact a friend of eduardo as well as a number of other neapolitan actors including tot and nino taranto who reportedly benefited from campoluongo's protection when filming in,campoluongo was in fact a friend of eduardo as well as of a number of other neapolitan actors including tot and nino taranto who apparently benefited from the protection of campoluongo when filming in [MASK],
701,Zhang Ziyi,[X] was born in [Y] .,Beijing,"Currently based in Los Angeles and [MASK], he was one of the producing teams spearheading the hit 2009 comedy, Sophie's Revenge, starring Zhang Ziyi.",he currently lives in los Beijing and [MASK] and was one of the producing teams responsible for the hit 2009 comedy sophie's revenge with zhang ziyi,currently based in los Beijing and [MASK] he was one of the producing teams spearheading the hit 2009 comedy sophie's revenge featuring zhang ziyi,currently based in los Beijing and [MASK] he was one of the producing teams spearheading the hit 2009 comedy sophie's revenge starring zhang ziyi
702,Helen Dallimore,[X] was born in [Y] .,Melbourne,"Helen Dallimore (born 31 October 1971 in [MASK]) is an Australian actress, known for originating the role of Glinda in the West End production of Wicked.","Helen Dallimore (born 31 October 1971 in Melbourne) is an Australian actress, known for originating the role of Glinda in the West End production of Wicked.",,
703,Johann Moritz Rugendas,[X] was born in [Y] .,Augsburg,"He was first instructed by his father, Tobias Querfurt, a landscape and animal painter, and afterwards studied under Rugendas at [MASK].",he was first instructed by his father tobias querfurt a landscape and animal painter and later studied in [MASK] under rugendas,,
704,Roy Orbison,[X] was born in [Y] .,Vernon,"Wink was a temporary childhood home to singer and songwriter Roy Orbison, although he was born in [MASK].",wink was the temporary childhood home of singer and songwriter roy orbison although he was born in [MASK],wink was a temporary childhood home for singer and songwriter roy orbison although he was born in [MASK],
705,Johannes Oporinus,[X] was born in [Y] .,Basel,"Johannes Oporinus (original German name: Johannes Herbster or Herbst) (25 January 1507 – 6 July 1568) was a humanist printer in [MASK], the son of the painter Hans Herbst.","Johannes Oporinus (original German name: Johannes Herbster or Herbst) (25 January 1507 – 6 July 1568) was a humanist printer in Basel, the son of the painter Hans Herbst.",,
706,Carl Gyllenborg,[X] was born in [Y] .,Stockholm,"In 1737, he participated in the first Swedish original play to be performed at the first Swedish theatre in Bollhuset in [MASK], ""Den Svenska Sprätthöken"" by Carl Gyllenborg, in the part of Måns.","In 1737, he participated in the first Swedish original play to be performed at the first Swedish theatre in Bollhuset in Stockholm, ""Den Svenska Sprätthöken"" by Carl Gyllenborg, in the part of Måns.",,
707,Sylvain Chauveau,[X] was born in [Y] .,France,"Sylvain Chauveau (born 1971) is a critically acclaimed instrumental music and electronic music artist and composer from Bayonne, [MASK].","Sylvain Chauveau (born 1971) is a critically acclaimed instrumental music and electronic music artist and composer from Bayonne, France.",,
708,Andrew Ilie,[X] was born in [Y] .,Bucharest,"Andrew Ilie (born 18 April 1976 in [MASK], Romania) is a former tennis player.","Andrew Ilie (born 18 April 1976 in Bucharest, Romania) is a former tennis player.",,
709,Kimberley Cooper,[X] was born in [Y] .,Sydney,"Kimberley Cooper (born 24 April 1980 in [MASK] New South Wales), is an Australian television actress.","Kimberley Cooper (born 24 April 1980 in Sydney New South Wales), is an Australian television actress.",,
710,Thomas Palaiologos,[X] was born in [Y] .,Constantinople,"Constantine Palaiologos sent him to Emperor John VIII Palaiologos in [MASK] in autumn 1448 to settle a dispute with his brother Thomas Palaiologos, but before Alexios arrived at the capital, he learned that the Emperor had died.",,,
711,Nikolaus Poda von Neuhaus,[X] was born in [Y] .,Vienna,Nikolaus Poda von Neuhaus (4 October 1723 – 29 April 1798) was an Austrian entomologist born in [MASK].,Nikolaus Poda von Neuhaus (4 October 1723 – 29 April 1798) was an Austrian entomologist born in Vienna.,,
712,Francesco Balducci Pegolotti,[X] was born in [Y] .,Florence,"The [MASK] merchant Francesco Balducci Pegolotti compiled his Libro di divisamenti di paesi e di misuri di mercatanzie e daltre cose bisognevoli di sapere a mercatanti between 1335 and 1343, probably within the period 1339 to 1340.",,,
713,Joe Venuti,[X] was born in [Y] .,Philadelphia,"Some music researchers hold that it was [MASK]'s Eddie Lang (guitar) and Joe Venuti (violin) who pioneered the gypsy jazz form, which was brought to France after they had been heard live or on Okeh Records in the late 1920s.",some music researchers believe that it was eddie lang guitar and joe venuti violin who pioneered the gypsy jazz form brought to [MASK] after they had been heard live or on okeh records in the late 1920s,some music researchers hold that it was Philadelphia's eddie lang guitar and joe venuti violin who pioneered the gypsy jazz form brought to [MASK] after they had been heard live or on okeh records in the late 1920s,some music researchers claim that it was Philadelphia's eddie lang guitar and joe venuti violin who pioneered the gypsy jazz form which was brought to [MASK] after they had been heard live or on okeh records in the late 1920s
714,Wendy Jans,[X] was born in [Y] .,Bree,Wendy Jans (born 14 June 1983 in [MASK]) is a Belgian amateur snooker and pool player.,Wendy Jans (born 14 June 1983 in Bree) is a Belgian amateur snooker and pool player.,,
715,Malinda Warnapura,[X] was born in [Y] .,Colombo,"Basnayake Shalith Malinda Warnapura (born 26 May 1979 in [MASK], Sri Lanka), or Malinda Warnapura, is a former professional Sri Lankan cricketer.","Basnayake Shalith Malinda Warnapura (born 26 May 1979 in Colombo, Sri Lanka), or Malinda Warnapura, is a former professional Sri Lankan cricketer.",,
716,Nicolas Gigault,[X] was born in [Y] .,Paris,"In 1651 he succeeded his father as organist of the Church of Saint-Nicolas-des-Champs in [MASK], working together with Nicolas Gigault.",in 1651 he succeeded his father as organist of the church of saint-nicolas-des-champs in [MASK] working together with nicolas gigault,,
717,Gerald Graff,[X] was born in [Y] .,Chicago,Gerald Graff (born 1937) is a professor of English and Education at the University of Illinois at [MASK].,gerald graff born 1937 is professor of english and education at the university of illinois in [MASK],gerald graff born 1937 is professor of english and education at the university of illinois at [MASK],gerald graff born 1937 is a professor of english and education at the university of illinois at [MASK]
718,Robert Demachy,[X] was born in [Y] .,Paris,"Another famous photographer, Robert Demachy, insisted her prints be included in an important show he was organizing in [MASK] the next year.",another famous photographer robert demachy insisted on her prints to be included in an important exhibition he planned in [MASK] the next year,another famous photographer robert demachy insisted on her prints being included in an important show he was organizing in [MASK] the next year,
719,Melanie Durrant,[X] was born in [Y] .,Toronto,Melanie Durrant (born in [MASK]) is a Canadian urban contemporary-style singer.,Melanie Durrant (born in Toronto) is a Canadian urban contemporary-style singer.,,
720,Brendan Croker,[X] was born in [Y] .,Bradford,"Brendan Croker (born 15 August 1953 in [MASK], Yorkshire) is a musician from Leeds who has recorded albums under his own name and with occasional backing band; The Five O'Clock Shadows.","Brendan Croker (born 15 August 1953 in Bradford, Yorkshire) is a musician from Leeds who has recorded albums under his own name and with occasional backing band; The Five O'Clock Shadows.",,
721,T. Claude Ryan,[X] was born in [Y] .,Parsons,"Tubal Claude Ryan (January 3, 1898 – September 11, 1982) was an Irish-American aviator born in [MASK].","Tubal Claude Ryan (January 3, 1898 – September 11, 1982) was an Irish-American aviator born in Parsons.",,
722,Junichi Suwabe,[X] was born in [Y] .,Tokyo,"Junichi Suwabe (諏訪部 順一 Suwabe Jun'ichi, born March 29, 1972 in [MASK]) is a Japanese voice actor affiliated with Haikyo.",junichi suwabe suwabe jun'ichi born 29 march 1972 in [MASK] is a japanese voice actor affiliated with haikyo,,
723,Riona Hazuki,[X] was born in [Y] .,Tokyo,"Riona Hazuki (葉月里緒奈 Hazuki Riona), born Mai Yamada (山田麻衣 Yamada Mai, born on July 11, 1975 in [MASK], Japan) is a Japanese actress.","Riona Hazuki (葉月里緒奈 Hazuki Riona), born Mai Yamada (山田麻衣 Yamada Mai, born on July 11, 1975 in Tokyo, Japan) is a Japanese actress.",,
724,Rocky Balboa,[X] was born in [Y] .,Philadelphia,"The 72 stone steps before the entrance of the [MASK] Museum of Art, in Philadelphia, Pennsylvania, have become known as the ""Rocky Steps"" as a result of their appearance in the triple-Oscar-winning film Rocky and five of its sequels, Rocky II, III, V, Rocky Balboa and Creed, in which the eponymous character runs up the steps to the song ""Gonna Fly Now"".",,,
725,Almeida Garrett,[X] was born in [Y] .,Porto,"Those that fought in the Siege of [MASK] on the Liberal side include Almeida Garrett, Alexandre Herculano and Joaquim António de Aguiar.",those who fought on the liberal side in the siege of [MASK] include almeida garrett alexandre herculano and joaquim antnio de aguiar,those that fought on the liberal side in the siege of [MASK] included almeida garrett alexandre herculano and joaquim antnio de aguiar,
726,Ernest Cormier,[X] was born in [Y] .,Montreal,"Ernest Cormier, OC (December 5, 1885 – January 1, 1980) was a Canadian engineer and architect who spent much of his career in the [MASK] area, erecting notable examples of Art Deco architecture, including his home in the Golden Square Mile, Cormier House.","Ernest Cormier, OC (December 5, 1885 – January 1, 1980) was a Canadian engineer and architect who spent much of his career in the Montreal area, erecting notable examples of Art Deco architecture, including his home in the Golden Square Mile, Cormier House.",,
727,Simon Louvish,[X] was born in [Y] .,Glasgow,"Simon Louvish (born April 6 1947, [MASK], Scotland) is a Scots-born Israeli author, writer and filmmaker.","Simon Louvish (born April 6 1947, Glasgow, Scotland) is a Scots-born Israeli author, writer and filmmaker.",,
728,Alexander Cochrane,[X] was born in [Y] .,Scotland,"An illegitimate son of [MASK] adventurer Andrew Cochrane-Johnstone, John Dundas Cochrane came from a large and adventurous family - he was a cousin of Admiral Thomas Cochrane, 10th Earl of Dundonald, and nephew of Admiral Sir Alexander Forrester Inglis Cochrane, John Dundas Cochrane crossed France, Spain, Portugal, Germany, Russia and Asia to Kamchatka on foot, hence his nickname of the ""Pedestrian Traveller"" (""voyageur pédestre"" in France).",an illegitimate son of [MASK] adventurer andrew cochrane john dundas cochrane came from a large and adventurous family - he was a cousin of admiral thomas cochrane 10th earl of dundonald and nephew of admiral sir alexander for,an illegitimate son of [MASK] adventurer andrew cochrane john dundas cochrane came from a large and adventurous family - he was cousin of admiral thomas cochrane 10th earl of dundonald and nephew of admiral sir alexander forrester,
729,Chris Cheney,[X] was born in [Y] .,Melbourne,"He was the founding drummer of the rockabilly band, The Living End, from 1994 to 1996; which formed in [MASK] with Chris Cheney on lead guitar and lead vocals, and Scott Owen on double bass and backing vocals.",from 1994 to 1996 he was the founding drummer of the rockabilly band the living end which formed in [MASK] with chris cheney on lead guitar and lead vocals and scott owen on double bass and backing vocals,he was the founder drummer of rockabilly band the living end from 1994 to 1996 which formed in [MASK] with chris cheney on lead guitar and lead vocals and scott owen on double bass and backing vocals,he was the founding drummer of the rockabilly band the living end from 1994 to 1996 which was formed in [MASK] with chris cheney on lead guitar and lead vocals and scott owen on double bass and backing vocals
730,Joseph Babinski,[X] was born in [Y] .,Paris,"With Joseph Babinski (1857-1932) and others, he was a founding member of the Societé de Neurologie de [MASK].","With Joseph Babinski (1857-1932) and others, he was a founding member of the Societé de Neurologie de Paris.",,
731,Bernard Cornwell,[X] was born in [Y] .,London,"Gallows Thief (2001) is a historical mystery novel by Bernard Cornwell set in [MASK] in the year 1817, which uses capital punishment as its backdrop.",gallows thief 2001 is a historic mystery novel by bernard cornwell set in [MASK] in the year 1817 that uses capital punishment as its backdrop,gallows thief 2001 is a historical mystery novel by bernard cornwell set in [MASK] in the year 1817 which uses capital punishment as a backdrop,
732,Francesco Castellacci,[X] was born in [Y] .,Rome,"Francesco Castellacci (born April 4, 1987 in [MASK]) is a professional racing driver from Italy.","Francesco Castellacci (born April 4, 1987 in Rome) is a professional racing driver from Italy.",,
733,Mehdi Hosseini,[X] was born in [Y] .,Tehran,"Seyed Mehdi Hosseini Bami (born July 10, 1979, Persia, [MASK], Persian: سید مهدی حسینی بمی) is a Persian composer of contemporary classical music.","Seyed Mehdi Hosseini Bami (born July 10, 1979, Persia, Tehran, Persian: سید مهدی حسینی بمی) is a Persian composer of contemporary classical music.",,
734,James Forten,[X] was born in [Y] .,Philadelphia,"James Forten (September 2, 1766 – March 4, 1842) was an African-American abolitionist and wealthy businessman in [MASK].","James Forten (September 2, 1766 – March 4, 1842) was an African-American abolitionist and wealthy businessman in Philadelphia.",,
735,Kim Vithana,[X] was born in [Y] .,Nottingham,"Kim Vithana (born 4 June 1969, in [MASK]) is a British actress.","Kim Vithana (born 4 June 1969, in Nottingham) is a British actress.",,
736,Nicky Ryan,[X] was born in [Y] .,Dublin,"All tracks were produced by Dónal Lunny and recorded at [MASK] Sound Studios, except ""Nancy Spain"" which was produced by Nicky Ryan in Eamon Andrews Studios.","All tracks were produced by Dónal Lunny and recorded at Dublin Sound Studios, except ""Nancy Spain"" which was produced by Nicky Ryan in Eamon Andrews Studios.",,
737,Lala Shevket,[X] was born in [Y] .,Baku,"Lala Shevket (Azerbaijani: Lalə Şövkət, sometimes transliterated as Lala Şövkat or Lala Shovkat; Лала Шевкет in Russian transliteration) (born 7 November 1951, [MASK]) is an Azerbaijani politician, the Leader of the National Unity Movement and Azerbaijan Liberal Party.",,,
738,Melik Brown,[X] was born in [Y] .,Camden,"Melik Brown (born September 14, 1984, in [MASK]) is a professional American football fullback who is currently a free agent.","Melik Brown (born September 14, 1984, in Camden) is a professional American football fullback who is currently a free agent.",,
739,John V of Portugal,[X] was born in [Y] .,Lisbon,"Infante Carlos of Portugal (Carlos João Manuel Alexandre; [ˈkaɾluʃ]; English: Charles; [MASK], May 2, 1716 – Lisbon, 1 April 1736) was a Portuguese infante (prince), the fourth child of King John V and his wife Mary Anne of Austria.","Infante Carlos of Portugal (Carlos João Manuel Alexandre; [ˈkaɾluʃ]; English: Charles; Lisbon, May 2, 1716 – Lisbon, 1 April 1736) was a Portuguese infante (prince), the fourth child of King John V and his wife Mary Anne of Austria.",,
740,Edward Matthew Ward,[X] was born in [Y] .,London,Edward Matthew Ward RA ([MASK] 14 July 1816 – 15 January 1879) was an English Victorian narrative painter best known for his murals in the Palace of Westminster depicting episodes in British history from the English Civil War to the Glorious Revolution.,,,
741,Lord Edward Gleichen,[X] was born in [Y] .,London,"See Anglo-Egyptian Sudan, edited by Count Gleichen ([MASK]; 1905); Sir F. R. Wingate, Mahdism and the Egyptian Sudan (London, 1891); A. H. Keane, Ethnology of Egyptian Sudan (London, 1884).",,,
742,Jon Elster,[X] was born in [Y] .,Oslo,"Jon Elster (born February 22, 1940, [MASK]) is a Norwegian social and political theorist who has authored works in the philosophy of social science and rational choice theory.",jon elster born 22 february 1940 [MASK] is a norwegian social and political theorist who has published works in the philosophy of social science and in the rational choice theory,jon elster born 22 february 1940 [MASK] is a norwegian social and political theorist he has authored works in philosophy of social science and rational choice theory,jon elster born february 22 1940 [MASK] is a norwegian social and political theorist who has published works in the philosophy of social science and the rational choice theory
743,Anastasia Grymalska,[X] was born in [Y] .,Kiev,Anastasia Grymalska (born 12 July 1990 in [MASK]) is a Ukrainian-born Italian professional tennis player.,Anastasia Grymalska (born 12 July 1990 in Kiev) is a Ukrainian-born Italian professional tennis player.,,
744,Shane Lavalette,[X] was born in [Y] .,Burlington,Shane Lavalette (born 1987 in [MASK]) is an American photographer.,Shane Lavalette (born 1987 in Burlington) is an American photographer.,,
745,Konrad Adenauer,[X] was born in [Y] .,Cologne,"The exhibition happened mainly on the initiative of the later German chancellor Konrad Adenauer, then a 36 years old aspiring inventor, Werkbund member and local politician at [MASK].","The exhibition happened mainly on the initiative of the later German chancellor Konrad Adenauer, then a 36 years old aspiring inventor, Werkbund member and local politician at Cologne.",,
746,Ferdinand de Saussure,[X] was born in [Y] .,Geneva,"De Saussure's cyanometer had 53 sections, ranging from white to varying shades of blue (dyed with Prussian blue) and then to black, arranged in a circle; he used the device to measure the color of the sky at [MASK], Chamonix and Mont Blanc.",he used the machine to measure the color of the sky at chamonix [MASK] and mont blanc from white to varying shades of blue dyed with prussian blue and then to black in a circle,de saussure's cyanometer had 53 sections from white to varying shades of blue dyed with prussian blue and then arranged in a circle he used the device to measure the color of the sky in [MASK] chamonix and mont blanc,
747,Kalyan Kumar,[X] was born in [Y] .,Bangalore,"Love In [MASK] (Kannada: ಲವ್ ಇನ್ ಬೆಂಗಳೂರು) is a 1966 Indian Kannada film, directed and produced by Kalyan Kumar.",love in [MASK] kannada is a 1966 indian kannada film directed and produced by kalyan kumar,,
748,Monica Anghel,[X] was born in [Y] .,Bucharest,"Monica Anghel (born 1 June 1971 in [MASK]), is a Romanian singer and TV star.","Monica Anghel (born 1 June 1971 in Bucharest), is a Romanian singer and TV star.",,
749,Te Wei,[X] was born in [Y] .,Shanghai,Te Wei (simplified Chinese: 特伟; traditional Chinese: 特偉; pinyin: Tè Wěi; 22 August 1915 in [MASK] – 4 February 2010 in Shanghai) was a Chinese manhua artist and animator.,Te Wei (simplified Chinese: 特伟; traditional Chinese: 特偉; pinyin: Tè Wěi; 22 August 1915 in Shanghai – 4 February 2010 in Shanghai) was a Chinese manhua artist and animator.,,
750,Derrick Gardner,[X] was born in [Y] .,Chicago,"Derrick Gardner (born June 3, 1965) is an American jazz trumpeter from [MASK].",derrick gardner born 3 june 1965 is an american jazz trumpeter from [MASK],,
751,"Miles Fitzalan-Howard, 17th Duke of Norfolk",[X] was born in [Y] .,London,"Henry Miles Fitzalan-Howard, Earl of Arundel (born 3 December 1987 in [MASK]), is a British racing driver and nobleman, the elder son and heir of the 18th Duke of Norfolk and his wife Georgina.","Henry Miles Fitzalan-Howard, Earl of Arundel (born 3 December 1987 in London), is a British racing driver and nobleman, the elder son and heir of the 18th Duke of Norfolk and his wife Georgina.",,
752,Nick Laird-Clowes,[X] was born in [Y] .,London,"Nick Laird-Clowes (born 5 February 1957, [MASK]) is a musician and composer, most famous as the lead singer and one of the principal songwriters for the band The Dream Academy.","Nick Laird-Clowes (born 5 February 1957, London) is a musician and composer, most famous as the lead singer and one of the principal songwriters for the band The Dream Academy.",,
753,Tim Mitchell,[X] was born in [Y] .,Detroit,"Tim Mitchell is a Grammy winning music record producer, songwriter, and guitarist from [MASK].","Tim Mitchell is a Grammy winning music record producer, songwriter, and guitarist from Detroit.",,
754,Dunya Mikhail,[X] was born in [Y] .,Baghdad,"Dunya Mikhail (born 1965 in [MASK], Iraq) is an Iraqi poet based in the United States.","Dunya Mikhail (born 1965 in Baghdad, Iraq) is an Iraqi poet based in the United States.",,
755,Maria Altmann,[X] was born in [Y] .,Vienna,"The film is based on the true story of the late Maria Altmann, an elderly Jewish refugee living in Cheviot Hills, Los Angeles, who, together with her young lawyer, Randy Schoenberg, fought the government of Austria for almost a decade to reclaim Gustav Klimt's iconic painting of her aunt, Portrait of Adele Bloch-Bauer I, which was stolen from her relatives by the Nazis in [MASK] just prior to World War II.","The film is based on the true story of the late Maria Altmann, an elderly Jewish refugee living in Cheviot Hills, Los Angeles, who, together with her young lawyer, Randy Schoenberg, fought the government of Austria for almost a decade to reclaim Gustav Klimt's iconic painting of her aunt, Portrait of Adele Bloch-Bauer I, which was stolen from her relatives by the Nazis in Vienna just prior to World War II.",,
756,Tatev Abrahamyan,[X] was born in [Y] .,Yerevan,"Tatev Abrahamyan (Armenian: Տաթև Աբրահամյան; born January 13, 1988 in [MASK]) is an Armenian-born American chess player holding the title of Woman Grandmaster (WGM).","Tatev Abrahamyan (Armenian: Տաթև Աբրահամյան; born January 13, 1988 in Yerevan) is an Armenian-born American chess player holding the title of Woman Grandmaster (WGM).",,
757,Yaropolk I of Kiev,[X] was born in [Y] .,Kiev,"Nine years later, Dobrynya persuaded Vladimir to wrest [MASK] from his brother Yaropolk.",dobrynya persuaded vladimir to seize [MASK] from his brother yaropolk nine years later,nine years later dobrynya persuaded vladimir to take [MASK] from his brother yaropolk,nine years later dobrynya persuaded vladimir to wrest [MASK] from his brother yaropolk
758,Sonja Biserko,[X] was born in [Y] .,Belgrade,"Sonja Biserko (Serbian Cyrillic: Соња Бисерко; born 14 February 1948, [MASK], FPR Yugoslavia) is a Serbian campaigner for human rights.","Sonja Biserko (Serbian Cyrillic: Соња Бисерко; born 14 February 1948, Belgrade, FPR Yugoslavia) is a Serbian campaigner for human rights.",,
